number,value,datetime_start,datetime_complete,duration,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_min_data_in_leaf,params_offset,params_subsample,params_threshold,params_use_dynamic_threshold,state
372,7.298629401999938e-07,2025-11-30 09:38:08.324404,2025-11-30 09:39:26.442897,0 days 00:01:18.118493,10.0,999.0,0.08132856820915457,0.09022087434498098,46.0,0.00040357948347911784,0.7696519820816573,0.002499800389579164,,COMPLETE
377,7.281027487627321e-07,2025-11-30 09:42:35.656780,2025-11-30 09:43:54.153087,0 days 00:01:18.496307,10.0,999.0,0.32676488915196056,0.09459319552468033,80.0,0.0004966040539430201,0.7603720130014218,0.002499961345116302,,COMPLETE
375,7.28050432831127e-07,2025-11-30 09:39:59.534070,2025-11-30 09:41:17.535238,0 days 00:01:18.001168,10.0,999.0,0.043781816569943094,0.1124488321589882,40.0,0.0004969758831948185,0.7548029138781223,0.002499824233661921,,COMPLETE
370,7.270464504889033e-07,2025-11-30 09:35:22.359521,2025-11-30 09:36:40.237400,0 days 00:01:17.877879,10.0,999.0,0.030388469299629187,0.0845806101694106,39.0,0.0004968290578366454,0.7449951073895276,0.002499892657249505,,COMPLETE
369,7.252709434295121e-07,2025-11-30 09:34:04.025995,2025-11-30 09:35:22.340724,0 days 00:01:18.314729,10.0,999.0,0.419863473989955,0.07863063921615872,43.0,0.0004974252738509915,0.7920384989299524,0.002499909874708356,,COMPLETE
381,7.238817241099984e-07,2025-11-30 09:45:00.340465,2025-11-30 09:46:18.948069,0 days 00:01:18.607604,10.0,999.0,0.14110393740508975,0.07425072241273599,45.0,0.0004973670203166257,0.7698379047553249,0.0024999462996189194,,COMPLETE
376,7.232270250696457e-07,2025-11-30 09:41:17.553190,2025-11-30 09:42:35.637864,0 days 00:01:18.084674,10.0,999.0,0.02053104547784698,0.06533392021265425,27.0,0.00047189125246784573,0.7782200760416147,0.0024999481761341924,,COMPLETE
371,7.199752722275296e-07,2025-11-30 09:36:50.598183,2025-11-30 09:38:08.306740,0 days 00:01:17.708557,10.0,999.0,0.15431680159825484,0.06075722005707475,41.0,0.0004322431667211369,0.7628120367713106,0.002499905474016687,,COMPLETE
13,0.0,2025-11-29 23:22:15.594406,2025-11-29 23:22:34.321889,0 days 00:00:18.727483,8.0,802.0,0.000567679014409015,0.18642397360333257,10.0,-0.0007758844901701813,0.8218351627948852,0.010143405218144611,False,COMPLETE
0,0.0,2025-11-29 23:15:34.437396,2025-11-29 23:15:37.505042,0 days 00:00:03.067646,6.0,1368.0,1.4941009409205406e-08,0.005104562295107797,70.0,-0.0017578402840332213,0.669557267418427,0.08699571268909506,True,COMPLETE
