iter	Passed	Remaining
648	66418	14736
649	66527	14636
650	66634	14534
651	66741	14433
652	66828	14327
653	66936	14226
654	67041	14124
655	67139	14021
656	67244	13919
657	67337	13815
658	67422	13709
659	67525	13607
660	67617	13503
661	67714	13399
662	67811	13296
663	67905	13192
664	68013	13091
665	68113	12988
666	68229	12888
667	68317	12783
668	68415	12680
669	68524	12579
670	68624	12477
671	68720	12373
672	68819	12270
673	68916	12167
674	69016	12065
675	69117	11962
676	69213	11859
677	69309	11755
678	69415	11654
679	69512	11551
680	69622	11450
681	69714	11346
682	69795	11240
683	69895	11138
684	69993	11035
685	70097	10933
686	70202	10831
687	70294	10728
688	70396	10625
689	70488	10522
690	70591	10420
691	70684	10316
692	70785	10214
693	70891	10112
694	70985	10009
695	71077	9905
696	71178	9803
697	71266	9699
698	71365	9597
699	71479	9496
700	71569	9392
701	71684	9292
702	71770	9188
703	71862	9084
704	71945	8980
705	72041	8877
706	72151	8776
707	72249	8674
708	72338	8570
709	72427	8466
710	72511	8362
711	72609	8260
712	72708	8158
713	72819	8057
714	72923	7955
715	73012	7851
716	73105	7748
717	73199	7646
718	73295	7543
719	73384	7440
720	73501	7339
721	73597	7237
722	73691	7134
723	73787	7032
724	73895	6930
725	73983	6827
726	74078	6725
727	74183	6623
728	74271	6520
729	74358	6417
730	74450	6314
731	74541	6211
732	74648	6110
733	74746	6008
734	74861	5907
735	74953	5804
736	75050	5702
737	75147	5600
738	75241	5498
739	75344	5396
740	75448	5294
741	75537	5191
742	75652	5091
743	75765	4989
744	75869	4888
745	75982	4787
746	76074	4684
747	76173	4582
748	76268	4480
749	76385	4379
750	76490	4277
751	76583	4175
752	76689	4073
753	76803	3972
754	76904	3870
755	76998	3768
756	77104	3666
757	77216	3565
758	77324	3463
759	77428	3362
760	77535	3260
761	77648	3158
762	77765	3057
763	77881	2956
764	78008	2855
765	78124	2753
766	78261	2652
767	78376	2551
768	78484	2449
769	78600	2347
770	78722	2246
771	78843	2144
772	78958	2042
773	79075	1941
774	79190	1839
775	79292	1737
776	79392	1634
777	79473	1532
778	79574	1430
779	79686	1328
780	79783	1225
781	79900	1123
782	79990	1021
783	80111	919
784	80228	817
785	80341	715
786	80444	613
787	80550	511
788	80661	408
789	80777	306
790	80898	204
791	81015	102
792	81137	0
